advertised_in_this_codex_session,skill,family,verdict,use,reason,path,resolved_path,lines,sha256
True,accessibility,agents,Revise,Core,"Keep the capability. Correct large-text contrast thresholds from 18px/14px bold to 18pt/14pt bold, approximately 24px/18.67px. Keep keyboard and assistive-technology verification.",/Users/wulymammoth/.agents/skills/accessibility/SKILL.md,/Users/wulymammoth/.agents/skills/accessibility/SKILL.md,440,65021e9ccab70165539db82070257d4e2e2c7d7b0f857825299da2e4a7a8704c
True,gsd-audit-fix,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-audit-fix/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-audit-fix/SKILL.md,33,8f4d02f154d9e0a3cbbfe1d2ba64622981893c418af0beab5f46e133ec7097c3
True,gsd-audit-milestone,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-audit-milestone/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-audit-milestone/SKILL.md,37,d87e7c09ba295399cf89a0803cebb7fe8c9747033ee957f122f89529f9e14606
True,gsd-audit-uat,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-audit-uat/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-audit-uat/SKILL.md,25,75f4d1a182942d69d11135391f76052d92e8bbec5eeb01e7d6b2e0d748496ba0
True,gsd-autonomous,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-autonomous/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-autonomous/SKILL.md,47,6b2b4369e63f44cc7e4b0e94b97e2365bda0ccce07517543e418bda1aec15491
True,gsd-check-todos,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-check-todos/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-check-todos/SKILL.md,46,cd0bb9dd1289d095fe6598f4f794e19654c70844c900e4df56b39db6b0732337
True,gsd-cleanup,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-cleanup/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-cleanup/SKILL.md,24,ed5b23472e687dc8324ec6dc392d827aa1e63c2a507a7514bf6d5d7a40e32401
True,gsd-code-review,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-code-review/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-code-review/SKILL.md,56,3448ea5edcba48d37029b523f6e3fe72a41a4bd2e232424fb14c1aa71f235891
True,gsd-code-review-fix,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-code-review-fix/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-code-review-fix/SKILL.md,53,ac2a41d9007bbd0759cde023abefe7ed0ff38aefd9c5bfa59b050c79b560f845
True,gsd-codebase-mapper,agents,Retire,Unused workflow,You report no recent GSD use. Legacy 1.0.0 conversion duplicates the newer commands; upstream conversion describes itself as untested.,/Users/wulymammoth/.agents/skills/gsd/agents/codebase-mapper/SKILL.md,/Users/wulymammoth/.agents/skills/gsd/agents/codebase-mapper/SKILL.md,727,ace0e09769f8ab71c4c0a0070238ee0b71bb0b508245e4d827052943a7aa3bec
True,gsd-complete-milestone,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-complete-milestone/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-complete-milestone/SKILL.md,136,5f2bcd7fb6f639320b2f05822b34bd2262d0db5c634ce8e62203126db35c2615
True,gsd-debug,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-debug/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-debug/SKILL.md,264,532793f86da0e7449b51d9311aceaf7e0d62b8943ff17b9601053cd5c651d039
True,gsd-debugger,agents,Retire,Unused workflow,You report no recent GSD use. Legacy 1.0.0 conversion duplicates the newer commands; upstream conversion describes itself as untested.,/Users/wulymammoth/.agents/skills/gsd/agents/debugger/SKILL.md,/Users/wulymammoth/.agents/skills/gsd/agents/debugger/SKILL.md,690,409e356db78f38939ba0e35806102902f8affbb1dc05693efa3738fe78e1f81c
True,gsd-discuss-phase,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-discuss-phase/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-discuss-phase/SKILL.md,70,3a978a1476e1e43e3da52d836c24e9a428f303cb2fce7c28a6f96c7ab3a5398d
True,gsd-do,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-do/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-do/SKILL.md,31,2a7f48293a0403ccfe2504bb35c8db533e3eedc21368625c8935e02ac1be4c48
True,gsd-docs-update,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-docs-update/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-docs-update/SKILL.md,49,36f3b9a9b8549977495913512f5069a90e03b1ba4c89d545ba69ddb445136bd3
True,gsd-eval-review,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-eval-review/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-eval-review/SKILL.md,33,d24fb2a27e130cf28e817da22f32ae1561031fa7fb028b29e9599d3d30426865
True,gsd-execute-phase,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-execute-phase/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-execute-phase/SKILL.md,64,161681f12c6a07c8b3dde0e6273961bffb3d2b3d87cbeb1ea750c255942ad9b1
True,gsd-executor,agents,Retire,Unused workflow,You report no recent GSD use. Legacy 1.0.0 conversion duplicates the newer commands; upstream conversion describes itself as untested.,/Users/wulymammoth/.agents/skills/gsd/agents/executor/SKILL.md,/Users/wulymammoth/.agents/skills/gsd/agents/executor/SKILL.md,629,46a51114c69a1df57493158671705273218225ec5700372386be904d89d59893
True,gsd-explore,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-explore/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-explore/SKILL.md,28,2cf6ba93a259f761ad66c58a7588cdca451125aa6c48c1c8153f0357bc1c1f37
True,gsd-extract_learnings,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-extract_learnings/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-extract_learnings/SKILL.md,22,c4fd797f94773ab60079dd298ab039d5b3916e348f328bd29159a5a2babbc320
True,gsd-fast,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-fast/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-fast/SKILL.md,31,c42f4c57223779bb44c499a8701a849258274d3ba9b4dd48fd78ad277be84823
True,gsd-forensics,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-forensics/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-forensics/SKILL.md,56,91e6737625d7762250af6aa39c29fa6d12656dca51bd57beaeb511b6bfe4b739
True,gsd-from-gsd2,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-from-gsd2/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-from-gsd2/SKILL.md,45,8973721bb7c7a869ef0393e0196746bb49995bb3b54e869f243808bb2a803385
True,gsd-graphify,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-graphify/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-graphify/SKILL.md,200,3f1ce09c2d60f3525cb19511da03a48a6e20866b09185ab433ac2e3aa147541d
True,gsd-health,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-health/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-health/SKILL.md,23,14c6ba75accfe0f1b756b28b7908690f3ebac27a4cfb02f46894d0ad17942143
True,gsd-help,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-help/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-help/SKILL.md,25,2eaa83e39471fd764e54f973b8f460fbfa6fbbc195c328e10e4729d6db893ec7
True,gsd-import,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-import/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-import/SKILL.md,37,d5a54841007c8e0f8e82400b513e42f664217124d6058a2a8ab1b3076a7e9121
True,gsd-insert-phase,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-insert-phase/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-insert-phase/SKILL.md,33,b257a9ef531be04005031ff4799cf8113ace5d302c081800b8460ece91d5803c
True,gsd-integration-checker,agents,Retire,Unused workflow,You report no recent GSD use. Legacy 1.0.0 conversion duplicates the newer commands; upstream conversion describes itself as untested.,/Users/wulymammoth/.agents/skills/gsd/agents/integration-checker/SKILL.md,/Users/wulymammoth/.agents/skills/gsd/agents/integration-checker/SKILL.md,394,194f1db73d8502a3a0fdf61272197542b0e01a7a3116456d15e6a9e33b10cd5f
True,gsd-intel,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-intel/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-intel/SKILL.md,180,6739ce0d87299ebb44003e55d92bacf37c70a79c912fb1a157b0b1c644c9a429
True,gsd-join-discord,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-join-discord/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-join-discord/SKILL.md,19,9ac388d3f0f89dd7c7f6771323d371a4a2529687121935520bb29c75ffda0092
True,gsd-list-phase-assumptions,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-list-phase-assumptions/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-list-phase-assumptions/SKILL.md,47,0b05b71e9c8fbf3b0405aa25d3b518092045fba5ecf4417cd24d1c751706fe72
True,gsd-list-workspaces,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-list-workspaces/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-list-workspaces/SKILL.md,20,c3d5a3a544f3856e1e078c8da82f322061fa51d8cafb5022264302f6938f20fc
True,gsd-manager,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-manager/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-manager/SKILL.md,41,e32ea8788276081cb3cca6671821c029e41761aa67d225f8776a611b25603650
True,gsd-map-codebase,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-map-codebase/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-map-codebase/SKILL.md,72,035a546c3a7a9bbe7afaa009d7900fb455170a6ccccfe239f7059facfa16ab10
True,gsd-milestone-summary,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-milestone-summary/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-milestone-summary/SKILL.md,51,0853107a4a25aeff576a605ed877dc7d661907ed7d447081476ff6e609ca2948
True,gsd-new-milestone,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-new-milestone/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-new-milestone/SKILL.md,45,e2fe1e1e476092ac9a98b8b7b0630ae3578b1ed6adaadc4665010164621c08eb
True,gsd-new-project,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-new-project/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-new-project/SKILL.md,47,30e0b1849ecb2e01761336c941986548a6ea24346a2ea38f1967b2bb253fd9cd
True,gsd-new-workspace,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-new-workspace/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-new-workspace/SKILL.md,45,d92506c6d8f74a2320d6de5dcde4420cd22faa244e9596a82d65a98f435fe42a
True,gsd-next,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-next/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-next/SKILL.md,29,fdc556b04a9abb1348c4f9c4df0a1f498ed6c15ecb3874b56ac35cbf63d947fc
True,gsd-note,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-note/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-note/SKILL.md,35,1921282a852ae645f5f7e74bc70979c2b9223a6f0e2a0259d674452f8e0bcfec
True,gsd-pause-work,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-pause-work/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-pause-work/SKILL.md,39,901f65830cc28f6071151e0c3ca1d83f8cf4f42783b000fde5d84cdba5c91c60
True,gsd-phase-researcher,agents,Retire,Unused workflow,You report no recent GSD use. Legacy 1.0.0 conversion duplicates the newer commands; upstream conversion describes itself as untested.,/Users/wulymammoth/.agents/skills/gsd/agents/phase-researcher/SKILL.md,/Users/wulymammoth/.agents/skills/gsd/agents/phase-researcher/SKILL.md,271,d021d069fa4edf9d43d50ed88679d833c4cc0309f7793eaea9599f061e89c394
True,gsd-plan-checker,agents,Retire,Unused workflow,You report no recent GSD use. Legacy 1.0.0 conversion duplicates the newer commands; upstream conversion describes itself as untested.,/Users/wulymammoth/.agents/skills/gsd/agents/plan-checker/SKILL.md,/Users/wulymammoth/.agents/skills/gsd/agents/plan-checker/SKILL.md,346,8ae05d499c6a459e78107c5fb2966882578896f07dea47a0f014a42542e811ac
True,gsd-plan-milestone-gaps,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-plan-milestone-gaps/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-plan-milestone-gaps/SKILL.md,35,b7165b66a34a0d69ea9e56bef5a23cd270176336c29973ea0d4da37f290082d3
True,gsd-plan-phase,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-plan-phase/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-plan-phase/SKILL.md,53,d4d80a98d76d90e3fd8f03b206e1ef2eda4191182291fab50b912bbfc6da4346
True,gsd-planner,agents,Retire,Unused workflow,You report no recent GSD use. Legacy 1.0.0 conversion duplicates the newer commands; upstream conversion describes itself as untested.,/Users/wulymammoth/.agents/skills/gsd/agents/planner/SKILL.md,/Users/wulymammoth/.agents/skills/gsd/agents/planner/SKILL.md,560,80808d7ec9cd1082739a1bd0bdcfd8609e894b3597ff488fc660f84c2506b549
True,gsd-plant-seed,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-plant-seed/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-plant-seed/SKILL.md,29,ee221105771c22d1f77b4bb42a0e33167e6e0d4fcfbe233d5fe5002c55f300d4
True,gsd-pr-branch,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-pr-branch/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-pr-branch/SKILL.md,26,66142a13a62e6b5a29d7187411eb4414f5c724167a8a5a2b9d8e37cce0b06f60
True,gsd-profile-user,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-profile-user/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-profile-user/SKILL.md,47,a6b690d017a10c73db8eb2aa6677b256260cf014acb8567274d2b7d48c57cf13
True,gsd-progress,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-progress/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-progress/SKILL.md,25,c29a6124c6898b4b7fa68bfed66de4167670c7104351b4676d9857bacfa2ea0a
True,gsd-project-researcher,agents,Retire,Unused workflow,You report no recent GSD use. Legacy 1.0.0 conversion duplicates the newer commands; upstream conversion describes itself as untested.,/Users/wulymammoth/.agents/skills/gsd/agents/project-researcher/SKILL.md,/Users/wulymammoth/.agents/skills/gsd/agents/project-researcher/SKILL.md,448,c469ba94fffcea81d50e17a1ca64804c18fb1067d9e5dfdcfd7623402ac50974
True,gsd-quick,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-quick/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-quick/SKILL.md,174,4c9d5f1c08568549a74be5db53cc2f922e7161ed8f59131e64787b870002c45b
True,gsd-reapply-patches,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-reapply-patches/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-reapply-patches/SKILL.md,311,ce2828ec7a0fcc6474cd72bd1a96af6391e4ac98ff57dc0f6facb620142dbde2
True,gsd-remove-phase,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-remove-phase/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-remove-phase/SKILL.md,32,3c0544b5a98c32ae3d173201ce8fc5240a551744c36cdc6ab7605be743cdf717
True,gsd-remove-workspace,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-remove-workspace/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-remove-workspace/SKILL.md,27,3efd77212b0beda2cdc7e12e46e631bae009327ed43f1e295e6542a95d423209
True,gsd-research-phase,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-research-phase/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-research-phase/SKILL.md,196,690c06937a37314953c76235077767e796ad151a4f164c3c5c65a53410c9048c
True,gsd-research-synthesizer,agents,Retire,Unused workflow,You report no recent GSD use. Legacy 1.0.0 conversion duplicates the newer commands; upstream conversion describes itself as untested.,/Users/wulymammoth/.agents/skills/gsd/agents/research-synthesizer/SKILL.md,/Users/wulymammoth/.agents/skills/gsd/agents/research-synthesizer/SKILL.md,266,3db21c51372c8757079901b4dfbc64712abf3d3312cd80ca97c6d27c3970551b
